file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,152,css,0b45d453,Jahnavi Naik,2025-01-28,18:38:41,-08:00,2025-01-28T18:38:41-08:00,0,11
style.css,153,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,0
style.css,154,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,0
style.css,155,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,19
style.css,156,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,15
style.css,157,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,17
style.css,158,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,17
style.css,159,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,0
style.css,160,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,0
style.css,161,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,11
style.css,162,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,13
style.css,163,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,19
style.css,164,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,9
style.css,165,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,0
style.css,166,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,0
style.css,167,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,8
style.css,168,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,13
style.css,169,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,58
style.css,170,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,8
style.css,171,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,22
style.css,172,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,13
style.css,173,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,14
style.css,174,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,29
style.css,175,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,18
style.css,176,css,624c3846,Jahnavi Naik,2025-02-03,22:42:42,-08:00,2025-02-03T22:42:42-08:00,0,7
